team_id,team
8302,Sevilla
7854,Leganés
7732,Girona
8315,Athletic Club
8633,Real Madrid
8370,Rayo Vallecano
8603,Betis
9866,Alavés
8305,Getafe
10205,Villarreal
10267,Valencia
8560,Real Sociedad
10281,Valladolid
8661,Mallorca
9910,Celta Vigo
8371,Osasuna
8634,Barcelona
8306,Las Palmas
9906,Atlético Madrid
8558,Espanyol
8670,Oviedo
9885,Juventus
9891,Frosinone
8564,Milan
8686,Roma
8529,Cagliari
8535,Fiorentina
6480,Salernitana
6504,Monza
9875,Napoli
8534,Empoli
8636,Inter
9857,Bologna
9804,Torino
9888,Lecce
8543,Lazio
7943,Sassuolo
8524,Atalanta
10233,Genoa
8600,Udinese
9876,Hellas Verona
8521,Brest
9746,Le Havre
9748,Lyon
9853,Saint-Étienne
9847,Paris S-G
8588,Lens
9837,Reims
8592,Marseille
9848,Strasbourg
9830,Nantes
8639,Lille
9831,Nice
10249,Montpellier
9851,Rennes
9941,Toulouse
8583,Auxerre
9829,Monaco
8121,Angers
178475,RB Leipzig
8406,Augsburg
8178,Leverkusen
8226,Hoffenheim
10269,Stuttgart
94937,Heidenheim
9905,Mainz 05
9810,Eint Frankfurt
9788,Gladbach
8358,Freiburg
8722,Köln
9911,Bochum
8262,Darmstadt 98
8721,Wolfsburg
9823,Bayern Munich
8697,Werder Bremen
8149,Union Berlin
9789,Dortmund
10260,Manchester Utd
8466,Southampton
9937,Brentford
8654,West Ham
10261,Newcastle Utd
9825,Arsenal
9826,Crystal Palace
8586,Tottenham
8455,Chelsea
8668,Everton
9902,Ipswich Town
8678,Bournemouth
8650,Liverpool
10203,Nott'ham Forest
8456,Manchester City
8602,Wolves
10252,Aston Villa
10204,Brighton
8197,Leicester City
9879,Fulham
8689,Lorient
8550,Metz
9772,Benfica
9773,Porto
9768,Sporting CP
